-0.142857143,0,1,0,0,0
-0.028571429,0.154,0.692,0.154,0,0
-0.03030303,0.179,0.756,0.064,-0.6249,1
-0.027777778,0.16,0.609,0.231,0.4199,0
-0.022222222,0.183,0.733,0.084,-0.7096,0
-0.666666667,0.661,0.339,0,-0.5984,1
-0.142857143,0.316,0.351,0.333,0.0516,0
-0.038461538,0.149,0.615,0.236,0.4019,0
-0.055555556,0.223,0.777,0,-0.6808,0
-0.007462687,0.108,0.802,0.09,-0.6801,0
-0.045454545,0.124,0.574,0.301,0.559,1
-0.333333333,0.655,0.345,0,-0.5848,1
-0.032258065,0,0.922,0.078,0.2363,1
-0.025641026,0.103,0.692,0.205,0.7096,0
-0.055555556,0.308,0.442,0.249,-0.1184,1
-0.027027027,0.149,0.791,0.06,-0.5719,1
-0.166666667,0.474,0.526,0,-0.5574,0
-0.038461538,0,0.733,0.267,0.743,0
-0.2,0.393,0.337,0.27,-0.2732,1
-0.5,1,0,0,-0.7906,1
-0.038461538,0.259,0.656,0.084,-0.6801,1
-0.142857143,0,0.373,0.627,0.8555,0
-0.058823529,0,0.844,0.156,0.34,0
-0.111111111,0.397,0.603,0,-0.6808,0
-0.019607843,0.143,0.661,0.196,0.5248,1
-0.2,0.571,0.429,0,-0.6115,1
-0.04,0.168,0.553,0.279,0.6411,1
-0.016949153,0.119,0.805,0.076,-0.5859,0
-0.043478261,0.201,0.566,0.233,0,0
-0.5,0.778,0.222,0,-0.5423,1
-0.064516129,0.427,0.573,0,-0.9526,1
-0.333333333,0,0.488,0.512,0.6369,1
-0.142857143,0.405,0.595,0,-0.6229,1
-0.037037037,0.126,0.721,0.153,-0.066,0
-0.066666667,0.246,0.674,0.08,-0.6369,1
-0.142857143,0,1,0,0,0
-0.016949153,0.099,0.827,0.074,-0.1027,0
-0.133333333,0.2,0.8,0,-0.5434,1
-0.142857143,0.556,0.444,0,-0.7396,1
-0.125,0.425,0.575,0,-0.5719,0
-0.008230453,0,0.966,0.034,0.7096,0
-0.028571429,0.051,0.697,0.253,0.7807,0
-0.052631579,0,0.738,0.262,0.7227,0
-0.054054054,0.107,0.893,0,-0.5023,0
-0.111111111,0.292,0.5,0.208,-0.25,1
-0.090909091,0.466,0.534,0,-0.7269,1
-0.0625,0.09,0.654,0.256,0.5834,0
-0.047619048,0.192,0.488,0.32,0.4503,1
-0.029411765,0.124,0.767,0.108,0.1027,1
-0.111111111,0,0.541,0.459,0.5,0
-0.028571429,0.263,0.671,0.066,-0.9517,0
-0.015625,0.115,0.715,0.17,0.5373,0
-0.125,0.217,0.783,0,-0.0276,0
-0.058823529,0.194,0.591,0.215,-0.1531,0
-0.037735849,0.18,0.564,0.256,0.3769,0
-0.019230769,0.089,0.911,0,-0.5719,0
-0.076923077,0.216,0.784,0,-0.5106,0
-0.006578947,0.101,0.715,0.183,0.9337,0
-0.045454545,0.204,0.796,0,-0.4767,0
-0.017391304,0.038,0.868,0.095,0.6174,0
-0.012048193,0.139,0.696,0.165,0.34,0
-0.333333333,0.623,0.377,0,-0.5106,1
-0.142857143,0.509,0.268,0.223,-0.4939,0
-0.1,0.373,0.386,0.241,-0.2621,0
-0.019047619,0.086,0.664,0.249,0.973,0
-0.013513514,0.026,0.871,0.102,0.5106,0
-0.027027027,0.123,0.72,0.157,-0.4698,0
-0.009259259,0.05,0.867,0.083,0.6969,0
-0.01369863,0.025,0.975,0,-0.1877,1
-0.0625,0.289,0.457,0.254,-0.1779,1
-0.111111111,0.292,0.5,0.208,-0.25,1
-0.111111111,0.333,0.667,0,-0.5423,1
-0.026315789,0.113,0.798,0.089,-0.2332,1
-0.058823529,0.461,0.539,0,-0.8555,1
-0.111111111,0,1,0,0,0
-0.018518519,0,0.901,0.099,0.631,0
-0.022222222,0.049,0.77,0.181,0.8098,1
-0.015384615,0,0.897,0.103,0.6486,0
-0.012048193,0.021,0.802,0.177,0.8726,0
-0.066666667,0.43,0.57,0,-0.7214,0
-0.045454545,0,1,0,0,0
-1,1,0,0,-0.5859,1
-0.015873016,0.053,0.767,0.18,0.8032,1
-0.333333333,0,0.313,0.687,0.659,0
-0.04,0.094,0.809,0.098,0.0258,0
-0.111111111,0.333,0.667,0,-0.5423,1
-0.5,0.767,0.233,0,-0.5106,1
-0.071428571,0.247,0.753,0,-0.5574,1
-0.071428571,0.187,0.466,0.347,0.4767,0
-0.125,0.381,0.053,0.566,0.5423,1
-0.018518519,0.125,0.875,0,-0.6908,0
-0.012345679,0.105,0.85,0.045,-0.4497,0
-0.25,0.538,0.462,0,-0.5423,1
-0.037037037,0.242,0.685,0.073,-0.6369,0
-0.142857143,0.541,0.459,0,-0.7096,1
-0.071428571,0.213,0.509,0.278,0.1027,1
-0.333333333,0.555,0.445,0,-0.3595,1
-0.142857143,0.389,0.481,0.13,-0.7506,1
-0.142857143,0.368,0.632,0,-0.5423,1
-0.05,0.207,0.606,0.187,-0.1007,1
-0.2,0,1,0,0,1
